                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7145,                 2.3031,                 1.1427,                0.98047,                0.59316,                0.60143,                0.58055,                0.24339,                0.52131,                 0.5125,                0.49282,                0.16954,                 2.0275,                 2.8029,                 1.1222,                 1.1939,               0.006733,               0.006733,               0.006733
                     35,                 1.8767,                 2.4085,                 1.0905,                 1.0032,                0.61501,                0.61907,                0.58921,                0.27606,                0.50387,                   0.55,                0.47632,                0.18878,                 1.8449,                 2.5369,                 1.2647,                  1.128,               0.006634,               0.006634,               0.006634
                     36,                 1.8387,                 2.3506,                 1.1029,                0.99582,                0.61501,                0.61907,                0.58921,                0.27606,                0.50387,                   0.55,                0.47632,                0.18878,                 1.8449,                 2.5369,                 1.2647,                  1.128,               0.006535,               0.006535,               0.006535
                     37,                 1.8884,                 2.3173,                 1.1173,                 1.0247,                0.61501,                0.61907,                0.58921,                0.27606,                0.50387,                   0.55,                0.47632,                0.18878,                 1.8449,                 2.5369,                 1.2647,                  1.128,               0.006436,               0.006436,               0.006436
                     38,                 1.8148,                 2.3899,                 1.3763,                 1.0048,                0.61738,                    0.6,                0.56156,                0.22879,                0.57603,                 0.4875,                0.49041,                 0.1941,                 1.9905,                 2.5879,                 1.1498,                 1.1337,               0.006337,               0.006337,               0.006337
                     39,                 1.7344,                 2.2939,                 1.2079,                0.99287,                0.61738,                    0.6,                0.56156,                0.22879,                0.57603,                 0.4875,                0.49041,                 0.1941,                 1.9905,                 2.5879,                 1.1498,                 1.1337,               0.006238,               0.006238,               0.006238
                     40,                 1.7325,                 2.1259,                 1.1685,                0.98881,                0.65608,                 0.5875,                0.61506,                0.29358,                0.62974,                  0.525,                0.57202,                0.28859,                 1.7779,                 2.4192,                 1.1453,                  1.047,               0.006139,               0.006139,               0.006139
                     41,                 1.9737,                 2.3832,                 1.1304,                 1.0186,                0.65608,                 0.5875,                0.61506,                0.29358,                0.62974,                  0.525,                0.57202,                0.28859,                 1.7779,                 2.4192,                 1.1453,                  1.047,                0.00604,                0.00604,                0.00604
                     42,                 2.0272,                  2.468,                 1.1283,                  1.047,                0.65608,                 0.5875,                0.61506,                0.29358,                0.62974,                  0.525,                0.57202,                0.28859,                 1.7779,                 2.4192,                 1.1453,                  1.047,               0.005941,               0.005941,               0.005941
                     43,                 1.8979,                 2.2639,                 1.1924,                 1.0219,                0.62139,                0.57444,                0.58474,                0.24984,                0.54449,                0.52299,                 0.4987,                0.19543,                 1.9746,                 2.5004,                 1.1421,                 1.1463,               0.005842,               0.005842,               0.005842
